country,code,year,children,safe,effective,beliefs
Argentina,AR,2022,0.91,0.86,0.9,0.69
Australia,AU,2022,0.86,0.85,0.88,0.74
Austria,AT,2022,0.75,0.78,0.81,0.79
Belarus,BY,2022,0.46,0.48,0.53,0.76
Belgium,BE,2022,0.72,0.75,0.79,0.74
Benin,BJ,2022,0.72,0.58,0.63,
Brazil,BR,2022,0.88,0.88,0.87,0.79
Bulgaria,BG,2022,0.63,0.58,0.65,0.67
Cambodia,KH,2022,0.96,0.96,0.96,0.46
Cameroon,CM,2022,0.82,0.69,0.72,0.6
Croatia,HR,2022,0.6,0.68,0.74,0.63
Cyprus,CY,2022,0.82,0.82,0.84,0.84
Czechia,CZ,2022,0.76,0.71,0.75,0.7
Denmark,DK,2022,0.87,0.88,0.89,0.78
"Congo, Democratic Republic of the",CD,2022,0.73,0.65,0.65,0.62
Estonia,EE,2022,0.72,0.73,0.8,0.78
Finland,FI,2022,0.89,0.88,0.89,0.79
France,FR,2022,0.75,0.76,0.82,0.77
Germany,DE,2022,0.81,0.83,0.87,0.83
Ghana,GH,2022,0.59,0.69,0.71,0.58
Greece,GR,2022,0.81,0.79,0.82,0.75
Hungary,HU,2022,0.74,0.78,0.81,0.7
India,IN,2022,0.98,0.97,0.97,0.74
Ireland,IE,2022,0.86,0.88,0.9,0.83
Italy,IT,2022,0.85,0.85,0.9,0.86
Côte d'Ivoire,CI,2022,0.81,0.71,0.766839433,0.7
Japan,JP,2022,0.54,0.61,0.74,0.36
Kenya,KE,2022,0.84,0.88,0.84,0.62
Lao People's Democratic Republic,LA,2022,0.9,0.91,0.91,0.78
Latvia,LV,2022,0.59,0.61,0.64,0.64
Liberia,LR,2022,0.76,0.78,0.76,0.67
Lithuania,LT,2022,0.69,0.72,0.77,0.75
Luxembourg,LU,2022,0.86,0.85,0.92,0.83
Malaysia,MY,2022,0.67,0.69,0.71,0.64
Mali,ML,2022,0.88,0.91,0.9,0.89
Malta,MT,2022,0.7,0.72,0.79,0.65
Mexico,MX,2022,0.94,0.93,0.93,0.8
Mongolia,MN,2022,0.79,0.71,0.83,0.26
Netherlands,NL,2022,0.7,0.74,0.76,0.69
Niger,NE,2022,0.9,0.89,0.89,0.84
Nigeria,NG,2022,0.81,0.81,0.82,0.78
New Zealand,NZ,2022,0.83,0.81,0.83,0.68
Pakistan,PK,2022,0.66,0.68,0.65,0.53
Papua New Guinea,PG,2022,0.46,0.52,0.54,0.41
Peru,PE,2022,0.89,0.87,0.88,0.71
Philippines,PH,2022,0.71,0.83,0.87,0.79
Poland,PL,2022,0.8,0.8,0.82,0.83
Portugal,PT,2022,0.92,0.93,0.94,0.9
Republic of Korea,KR,2022,0.48,0.54,0.62,0.56
Romania,RO,2022,0.84,0.78,0.82,0.76
Russian Federation,RU,2022,0.49,0.57,0.6,0.82
Senegal,SN,2022,0.66,0.7,0.71,0.78
Sierra Leone,SL,2022,0.75,0.88,0.88,0.72
Slovakia,SK,2022,0.61,0.6,0.66,0.65
Slovenia,SI,2022,0.69,0.66,0.71,0.67
South Africa,ZA,2022,0.63,0.72,0.73,0.63
South Sudan,SS,2022,0.69,0.77,0.73,0.67
Spain,ES,2022,0.89,0.9,0.91,0.87
Sudan,SD,2022,0.89,0.81,0.81,
Sweden,SE,2022,0.88,0.85,0.88,0.75
Syrian Arab Republic,SY,2022,0.77,0.73,0.74,0.72
Uganda,UG,2022,0.76,0.84,0.83,0.74
Uruguay,UY,2022,0.86,0.86,0.88,0.64
United States of America,US,2022,0.79,0.73,0.77,0.54
Venezuela (Bolivarian Republic of),VE,2022,0.93,0.88,0.9,0.74
Viet Nam,VN,2022,0.97,0.97,0.99,0.75
